country,gdp,gdp-pc,gdp-agr,gd-gdp,ed,i,e,ir,cpi,fi,pp,ca,ur,p
Argentina,491,12391,0.069,0.805,274837,7837,7537,0.83,967,0.866,1141,-894,0.069,45.81
Australia,1543,58780,0.036,0.361,1402563,30937,36290,0.061,126,0.059,120,11579,0.035,25.77
Brazil,1609,8551,0.032,0.803,663260,24956,28950,0.072,6370,0.117,174,-4136,0.089,213
Canada,1991,43946,0.029,1.13,2375040,46842,47942,0.069,153,0.103,126,1972,0.052,38.44
China,17734,11188,0.004,0.715,2636000,236000,315000,0.028,103,0.088,111,77500,0.053,1413
EU,14493,36352,0.041,0.956,16242079,278194,227981,0.099,119,0.138,165,-19929,0.66,343
France,2937,38210,0.042,1.13,6942147,65541,50452,0.056,113,0.099,143,-5009,0.074,67.63
Germany,4223,42527,0.017,0.693,6090022,124373,124921,0.1,121,0.177,172,607,0.055,83.16
India,3173,1961,0.135,0.893,617100,61160,35450,0.074,175,0.086,152,-23872,0.064,1380
Indonesia,1186,3856,0.054,0.412,403044,22150,24801,0.06,113,0.079,113,3853,0.058,273
Italy,2100,31512,0.05,1.51,2436952,49630,40194,0.089,114,0.117,156,-5186,0.078,59.24
Japan,4937,35278,0.016,2.66,4016773,73794,54690,0.03,103,0.042,116,399,0.025,125
Mexico,1293,9255,0.02,0.521,447828,56168,50670,0.087,125,0.146,120,-704,0.035,126
Netherlands,1018,48424,0.051,0.524,3491926,54973,59969,0.145,124,0.127,143,7384,0.038,17.48
Russia,1776,10220,-0.041,0.182,437000,24754,45927,0.137,230,0.142,258,51900,0.038,146
Saudi Arabia,834,19018,0.122,0.325,250241,14671,37462,0.031,108,0.043,149,45365,0.058,34.11
Singapore,397,66176,0.044,1.31,1744984,39111,43181,0.075,110,0.064,121,19407,0.021,5.45
South Africa,420,5865,0.002,0.699,169320,9298,9694,0.075,106,0.119,124,-4786,0.339,60.14
South Korea,1799,32645,0.029,0.469,662038,61230,57460,0.056,109,0.078,120,-3050,0.028,51.74
Spain,1425,26239,0.068,1.18,2328155,37028,29090,0.089,110,0.144,166,1321,0.125,47.4
Switzerland,813,88224,0.028,0.414,2203824,20030,22819,0.033,105,0.029,110,11112,0.019,8.67
Turkey,815,13251,0.076,0.42,444392,33000,22616,0.835,1047,0.931,1865,-3112,0.096,84.68
UK,3187,46209,0.044,0.959,8117363,85134,77125,0.101,124,0.145,134,-38174,0.035,67.53
USA,22996,61280,0.018,1.37,24048762,326316,258918,0.082,297,0.112,140,-251090,0.035,332
